date,walletBalanceXBT,adjustedWealthXBT,daily_realised_pnl_xbt,daily_funding_xbt,daily_deposit_xbt,daily_withdrawal_xbt,n_fills,top_3_symbols_traded
2022-02-25,10.160625,76.162425,-0.236355,0.0,0.0,0.0,366,XBTUSD
2022-02-26,8.169288,74.171088,-1.991336,0.0,0.0,0.0,13,XBTUSD
2022-02-27,8.325864,74.327664,0.156576,0.0,0.0,0.0,145,"XBTUSD,DOGEUSD"
2022-02-28,8.914385,74.916185,0.588521,0.0,0.0,0.0,453,XBTUSD
2022-03-01,9.138228,75.140028,0.223843,0.0,0.0,0.0,119,"XBTUSD,ETHH22,ETHUSD"
2022-03-02,9.096259,75.098059,-0.041969,0.0,0.0,0.0,108,"XBTUSD,ETHH22"
2022-03-03,9.312083,75.313883,0.215824,0.0,0.0,0.0,386,"ETHUSD,XBTUSD"
2022-03-04,9.452781,75.454581,0.140698,0.0,0.0,0.0,636,"XBTUSD,ETHH22,ETHUSD"
2022-03-05,7.823357,73.825157,-1.629424,0.0,0.0,0.0,56,"ETHH22,XBTUSD"
2022-03-06,7.926582,73.928382,0.103225,0.0,0.0,0.0,63,"XBTUSD,ETHH22"
2022-03-07,7.977167,73.978967,0.050585,0.0,0.0,0.0,62,XBTUSD
2022-03-08,7.983377,73.985177,0.00621,0.0,0.0,0.0,29,XBTUSD
2022-03-09,7.330114,73.331914,-0.653263,0.0,0.0,0.0,227,"XBTUSD,XRPUSD"
2022-03-10,6.575397,72.577197,-0.754717,0.0,0.0,0.0,223,"XBTUSD,XRPUSD"
2022-03-11,6.380247,72.382047,-0.19515,0.0,0.0,0.0,39,XBTUSD
2022-03-12,6.278817,72.280617,-0.10143,0.0,0.0,0.0,13,ETHH22
2022-03-13,6.27523,72.27703,-0.003587,0.0,0.0,0.0,7,XBTUSD
2022-03-14,6.273286,72.275086,-0.001944,0.0,0.0,0.0,14,XBTUSD
2022-03-15,6.274273,72.276073,0.000987,0.0,0.0,0.0,0,
2022-03-16,6.317899,72.319699,0.043626,0.0,0.0,0.0,193,"XBTUSD,ETHM22"
2022-03-17,6.363356,72.365156,0.045457,0.0,0.0,0.0,206,"XBTUSD,ETHM22,XRPUSD"
2022-03-18,6.244411,72.246211,-0.118945,0.0,0.0,0.0,141,"XBTUSD,XRPUSD"
2022-03-19,6.178013,72.179813,-0.066398,0.0,0.0,0.0,156,"XBTUSD,XRPUSD"
2022-03-20,6.03595,72.03775,-0.142063,0.0,0.0,0.0,37,"XRPUSD,XBTUSD"
2022-03-21,6.230892,72.232692,0.194942,0.0,0.0,0.0,153,"XBTUSD,ETHH22"
2022-03-22,6.135309,72.137109,-0.095583,0.0,0.0,0.0,135,"XBTUSD,XRPUSD"
2022-03-23,6.331312,72.333112,0.196002,0.0,0.0,0.0,40,XBTUSD
2022-03-24,6.322153,72.323953,-0.009159,0.0,0.0,0.0,68,XBTUSD
2022-03-25,6.01233,72.01413,-0.309823,0.0,0.0,0.0,9,XBTUSD
2022-03-26,6.006073,72.007873,-0.006258,0.0,0.0,0.0,47,"XBTUSD,ETHM22"
2022-03-27,6.005747,72.007547,-0.000325,0.0,0.0,0.0,88,"XBTUSD,XRPUSD"
2022-03-28,5.947695,71.949495,-0.058053,0.0,0.0,0.0,82,"ETHUSD,XBTUSD,ETHM22"
2022-03-29,5.784552,71.786352,-0.163143,0.0,0.0,0.0,44,"XBTUSD,ETHM22"
2022-03-30,5.46379,71.46559,-0.320762,0.0,0.0,0.0,48,XBTUSD
2022-03-31,5.46453,71.46633,0.000741,0.0,0.0,0.0,43,"XRPUSD,ETHUSD,XBTUSD"
